[14304:10680:0917/104108.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[14304:12392:0917/104108.426:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[14304:10680:0917/104108.552:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[16192:16164:0917/104128.015:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B32786BA402EA52AB1D655A4DB75EE5D will be ignored
[14304:15048:0917/105721.881:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[14304:15048:0917/143333.328:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143334.327:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=72})
[14304:15048:0917/143339.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143344.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143347.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143348.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143351.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143355.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=72})
[14304:15048:0917/143356.332:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=71})
[14304:15048:0917/143358.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143359.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143400.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143401.330:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143403.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143405.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143406.332:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143407.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143408.332:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=82})
[14304:15048:0917/143412.332:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143415.333:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143416.333:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143417.333:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=78})
[14304:15048:0917/143419.334:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143420.336:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
