[19412:12464:0924/171425.892:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[19412:24604:0924/171425.922:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[19412:12464:0924/171425.940:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[14396:14956:0924/171428.905:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-CE719610F748D9F2CE3A4EB832A4D26C will be ignored
[19412:14048:0924/171432.693:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[19412:14048:0924/211903.192:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211906.196:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211908.195:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/211909.208:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211910.283:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211911.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211912.201:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=57})
[19412:14048:0924/211914.525:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=56})
[19412:14048:0924/211917.224:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=57})
[19412:14048:0924/211919.237:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=55})
[19412:14048:0924/211921.215:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=56})
[19412:14048:0924/211922.210:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[19412:14048:0924/211923.209:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211924.205:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211928.218:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/211930.209:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211932.216:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211938.388:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/211940.217:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/211942.214:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211948.226:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/211952.238:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/211955.228:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212000.239:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212002.456:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212004.232:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212007.253:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212009.248:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212012.252:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=57})
[19412:14048:0924/212017.261:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[19412:14048:0924/212018.243:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212021.242:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212023.257:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[19412:14048:0924/212024.264:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212025.258:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212028.251:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212030.260:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212033.253:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=63})
[19412:14048:0924/212035.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=64})
[19412:14048:0924/212035.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=66})
[19412:14048:0924/212037.244:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=100})
[19412:14048:0924/212051.287:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212056.289:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212058.268:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=63})
[19412:14048:0924/212101.280:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212104.284:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=63})
[19412:14048:0924/212106.274:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212107.284:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=63})
[19412:14048:0924/212112.278:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=62})
[19412:14048:0924/212114.280:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212117.287:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212119.300:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212122.288:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212131.291:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=61})
[19412:14048:0924/212132.298:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
[19412:14048:0924/212133.302:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212136.305:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[31536:31032:0924/212137.029:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[31536:31032:0924/212137.029:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[31536:31032:0924/212137.057:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[31536:31032:0924/212137.057:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[31536:31032:0924/212137.092:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[31536:31032:0924/212137.092:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[31536:31032:0924/212137.092:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
